movie,chapter,scene_counting,emotion,prediction
Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,44,sadness,2
Harry Potter and the Chamber of Secrets,Mandrakes - Ron's Howler,44,worry,4
Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,45,fun,1
Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,45,hate,1
Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,45,neutral,3
Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,45,worry,1
Harry Potter and the Chamber of Secrets,Gilderoy Lockhart,45,happiness,1
Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,46,worry,6
Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,46,surprise,4
Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,46,sadness,1
Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,46,neutral,6
Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,46,love,1
Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,46,hate,1
Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,46,happiness,1
Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,46,fun,2
Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,46,relief,2
Harry Potter and the Chamber of Secrets,Mudbloods and murmurs,46,empty,1
Harry Potter and the Chamber of Secrets,Writing on the wall,47,hate,1
Harry Potter and the Chamber of Secrets,Kill!,48,neutral,8
Harry Potter and the Chamber of Secrets,Kill!,48,fun,1
Harry Potter and the Chamber of Secrets,Kill!,48,happiness,1
Harry Potter and the Chamber of Secrets,Kill!,48,sadness,6
Harry Potter and the Chamber of Secrets,Kill!,48,surprise,5
Harry Potter and the Chamber of Secrets,Kill!,48,worry,3
Harry Potter and the Chamber of Secrets,Kill!,48,love,1
Harry Potter and the Chamber of Secrets,About the Chamber,49,neutral,8
Harry Potter and the Chamber of Secrets,About the Chamber,49,worry,5
Harry Potter and the Chamber of Secrets,About the Chamber,49,surprise,2
Harry Potter and the Chamber of Secrets,About the Chamber,49,sadness,1
Harry Potter and the Chamber of Secrets,About the Chamber,49,relief,1
Harry Potter and the Chamber of Secrets,About the Chamber,49,fun,2
Harry Potter and the Chamber of Secrets,Rogue Bludger,50,sadness,1
Harry Potter and the Chamber of Secrets,Rogue Bludger,50,neutral,8
Harry Potter and the Chamber of Secrets,Rogue Bludger,50,fun,1
Harry Potter and the Chamber of Secrets,Rogue Bludger,50,surprise,1
Harry Potter and the Chamber of Secrets,Rogue Bludger,50,worry,1
Harry Potter and the Chamber of Secrets,Rogue Bludger,50,relief,2
Harry Potter and the Chamber of Secrets,No longer safe,51,sadness,4
Harry Potter and the Chamber of Secrets,No longer safe,51,surprise,4
Harry Potter and the Chamber of Secrets,No longer safe,51,neutral,6
Harry Potter and the Chamber of Secrets,No longer safe,51,hate,1
Harry Potter and the Chamber of Secrets,No longer safe,51,happiness,3
Harry Potter and the Chamber of Secrets,No longer safe,51,fun,1
Harry Potter and the Chamber of Secrets,No longer safe,51,enthusiasm,1
Harry Potter and the Chamber of Secrets,No longer safe,51,empty,1
Harry Potter and the Chamber of Secrets,No longer safe,51,worry,10
Harry Potter and the Chamber of Secrets,Dueling Club,52,worry,3
Harry Potter and the Chamber of Secrets,Dueling Club,52,sadness,1
Harry Potter and the Chamber of Secrets,Dueling Club,52,enthusiasm,2
Harry Potter and the Chamber of Secrets,Dueling Club,52,fun,1
Harry Potter and the Chamber of Secrets,Dueling Club,52,happiness,3
Harry Potter and the Chamber of Secrets,Dueling Club,52,neutral,2
Harry Potter and the Chamber of Secrets,Dueling Club,52,love,1
Harry Potter and the Chamber of Secrets,A Parselmouth,53,happiness,1
Harry Potter and the Chamber of Secrets,A Parselmouth,53,hate,2
Harry Potter and the Chamber of Secrets,A Parselmouth,53,neutral,5
Harry Potter and the Chamber of Secrets,A Parselmouth,53,sadness,1
Harry Potter and the Chamber of Secrets,A Parselmouth,53,worry,4
Harry Potter and the Chamber of Secrets,Nothing to tell,54,sadness,1
Harry Potter and the Chamber of Secrets,Nothing to tell,54,neutral,5
Harry Potter and the Chamber of Secrets,Nothing to tell,54,relief,2
Harry Potter and the Chamber of Secrets,Nothing to tell,54,worry,3
Harry Potter and the Chamber of Secrets,Nothing to tell,54,fun,1
Harry Potter and the Chamber of Secrets,Nothing to tell,54,happiness,1
Harry Potter and the Chamber of Secrets,Polyjuice Potion,55,fun,1
Harry Potter and the Chamber of Secrets,Polyjuice Potion,55,enthusiasm,1
Harry Potter and the Chamber of Secrets,Polyjuice Potion,55,hate,2
Harry Potter and the Chamber of Secrets,Polyjuice Potion,55,worry,6
